Gender,Age,Annual_Income,Income_Type,Employment_Status,Education,Credit_History,Approved
Female,61,175595,Working,Unemployed,Secondary / Secondary Special,Good,1
Male,22,86088,State Servant,Unemployed,Lower Secondary,Good,1
Female,20,92525,State Servant,Employed,Higher Education,Good,1
Female,18,28780,Working,Employed,Higher Education,Good,1
Male,21,21589,State Servant,Employed,Lower Secondary,Good,1
Female,57,108664,Pensioner,Employed,Academic Degree,Bad,0
Female,52,119188,Commercial Associate,Unemployed,Lower Secondary,Good,1
Male,49,108326,Working,Unemployed,Lower Secondary,Good,0
Female,59,55953,Working,Employed,Secondary / Secondary Special,Good,1
Male,51,80785,Commercial Associate,Employed,Lower Secondary,Good,1
Male,60,34309,State Servant,Unemployed,Higher Education,Good,0
Female,42,69195,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,27,40901,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,38,169648,State Servant,Employed,Secondary / Secondary Special,Bad,1
Female,63,177580,Commercial Associate,Employed,Academic Degree,Bad,1
Male,56,40464,State Servant,Unemployed,Incomplete Higher,Good,0
Female,44,31260,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Male,44,139997,Commercial Associate,Employed,Lower Secondary,Good,1
Female,19,50440,Pensioner,Unemployed,Secondary / Secondary Special,Bad,0
Female,58,110082,State Servant,Employed,Secondary / Secondary Special,Bad,0
Female,65,120583,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,30,71683,State Servant,Employed,Academic Degree,Good,1
Female,26,139206,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,69,148059,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,53,171177,Working,Unemployed,Academic Degree,Good,1
Female,39,93484,State Servant,Unemployed,Incomplete Higher,Good,1
Male,59,159098,State Servant,Unemployed,Higher Education,Good,1
Female,43,83309,Commercial Associate,Employed,Academic Degree,Bad,0
Male,71,60927,State Servant,Employed,Academic Degree,Bad,0
Male,29,57946,Working,Unemployed,Secondary / Secondary Special,Good,1
Male,34,141503,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Male,31,156449,Pensioner,Unemployed,Higher Education,Bad,0
Male,31,68592,Working,Employed,Secondary / Secondary Special,Good,1
Male,74,153419,State Servant,Unemployed,Lower Secondary,Good,1
Female,51,48776,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,70,149855,Working,Employed,Secondary / Secondary Special,Good,1
Male,74,70798,Commercial Associate,Unemployed,Lower Secondary,Good,0
Male,37,150370,Pensioner,Employed,Higher Education,Good,1
Female,28,85204,Working,Employed,Lower Secondary,Good,1
Female,33,101207,Working,Unemployed,Academic Degree,Good,1
Male,68,115356,State Servant,Employed,Lower Secondary,Good,1
Female,48,75652,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,72,144572,State Servant,Employed,Academic Degree,Bad,0
Male,23,35922,Working,Unemployed,Secondary / Secondary Special,Good,1
Female,73,166388,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,36,91996,Pensioner,Employed,Higher Education,Good,1
Female,54,163040,Working,Unemployed,Higher Education,Good,1
Female,21,45266,Working,Employed,Lower Secondary,Good,1
Male,64,170072,Commercial Associate,Employed,Academic Degree,Good,1
Male,21,160083,Working,Unemployed,Secondary / Secondary Special,Good,1
Female,37,17866,Working,Employed,Higher Education,Good,1
Male,27,127669,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Male,41,20898,Pensioner,Employed,Incomplete Higher,Good,1
Male,71,33395,Pensioner,Employed,Higher Education,Good,1
Female,52,19006,State Servant,Unemployed,Lower Secondary,Good,0
Female,43,25956,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,54,152150,Pensioner,Employed,Academic Degree,Good,1
Female,55,175703,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,38,110676,State Servant,Employed,Higher Education,Good,1
Female,71,136724,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,57,77901,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,56,122227,Working,Employed,Higher Education,Good,1
Male,38,132192,State Servant,Employed,Academic Degree,Good,1
Male,27,46417,Pensioner,Unemployed,Academic Degree,Good,1
Male,55,103020,Commercial Associate,Employed,Lower Secondary,Bad,0
Female,63,98639,State Servant,Employed,Academic Degree,Bad,0
Female,21,109881,Pensioner,Unemployed,Lower Secondary,Good,1
Male,74,147659,State Servant,Unemployed,Incomplete Higher,Good,1
Female,62,136688,Commercial Associate,Unemployed,Higher Education,Good,1
Male,37,130584,Working,Employed,Academic Degree,Good,1
Male,34,101567,State Servant,Unemployed,Lower Secondary,Good,1
Male,72,90886,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,24,164888,Commercial Associate,Employed,Academic Degree,Bad,1
Female,21,44432,Working,Employed,Secondary / Secondary Special,Good,1
Male,46,87373,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,31,35884,Pensioner,Unemployed,Academic Degree,Good,1
Male,20,20454,Pensioner,Employed,Incomplete Higher,Good,1
Male,41,89960,State Servant,Employed,Higher Education,Bad,0
Female,54,117421,Commercial Associate,Employed,Higher Education,Bad,0
Female,33,58618,Pensioner,Employed,Higher Education,Bad,0
Male,72,62111,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,69,135592,Commercial Associate,Unemployed,Higher Education,Good,1
Female,21,74993,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,73,143652,State Servant,Employed,Higher Education,Good,1
Male,41,154920,State Servant,Employed,Incomplete Higher,Good,1
Male,51,93672,Pensioner,Employed,Academic Degree,Good,1
Male,47,81125,Commercial Associate,Employed,Academic Degree,Good,1
Female,35,132509,Working,Unemployed,Higher Education,Good,1
Female,36,76602,State Servant,Employed,Academic Degree,Good,1
Female,48,57222,Commercial Associate,Unemployed,Higher Education,Good,1
Male,36,64223,Commercial Associate,Employed,Higher Education,Good,1
Male,66,80333,Pensioner,Unemployed,Lower Secondary,Good,1
Female,63,137650,Working,Unemployed,Lower Secondary,Good,1
Female,36,64420,Pensioner,Employed,Lower Secondary,Good,1
Male,39,90504,Working,Employed,Secondary / Secondary Special,Good,1
Female,41,17462,Working,Employed,Lower Secondary,Bad,0
Female,62,24460,State Servant,Employed,Higher Education,Good,1
Male,29,114319,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,47,155347,Commercial Associate,Unemployed,Lower Secondary,Good,1
Male,55,159341,Commercial Associate,Employed,Lower Secondary,Bad,0
Male,70,144593,Working,Employed,Incomplete Higher,Good,1
Male,48,137672,Commercial Associate,Unemployed,Higher Education,Good,1
Male,53,87920,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,36,37553,Working,Unemployed,Lower Secondary,Good,0
Male,65,170438,Working,Employed,Incomplete Higher,Good,1
Male,62,59036,Working,Unemployed,Higher Education,Good,1
Female,53,163441,Working,Employed,Academic Degree,Bad,1
Male,47,157867,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Male,72,85021,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Female,66,122205,State Servant,Employed,Incomplete Higher,Good,1
Female,72,176215,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,50,175497,State Servant,Employed,Lower Secondary,Bad,1
Male,35,103209,Pensioner,Unemployed,Academic Degree,Good,1
Female,69,90139,Pensioner,Unemployed,Secondary / Secondary Special,Bad,0
Male,66,20368,Pensioner,Unemployed,Higher Education,Good,1
Male,45,150693,Pensioner,Employed,Higher Education,Good,1
Male,64,73829,Working,Employed,Academic Degree,Bad,0
Male,28,144036,Working,Unemployed,Incomplete Higher,Good,0
Female,74,29719,State Servant,Employed,Incomplete Higher,Good,1
Female,71,44227,State Servant,Unemployed,Incomplete Higher,Good,0
Male,62,124430,Pensioner,Employed,Incomplete Higher,Good,1
Male,50,153638,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,34,27306,Pensioner,Unemployed,Academic Degree,Good,1
Female,23,68822,State Servant,Employed,Lower Secondary,Good,1
Male,21,39042,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,37,161158,State Servant,Employed,Incomplete Higher,Bad,0
Female,65,163459,Pensioner,Employed,Lower Secondary,Good,1
Female,64,173114,Commercial Associate,Employed,Higher Education,Good,1
Male,44,104424,Pensioner,Unemployed,Academic Degree,Good,1
Female,32,164395,Commercial Associate,Employed,Lower Secondary,Good,1
Female,23,33019,Commercial Associate,Unemployed,Incomplete Higher,Good,0
Male,64,90426,State Servant,Employed,Incomplete Higher,Bad,0
Female,31,55863,Commercial Associate,Employed,Incomplete Higher,Bad,0
Male,28,126023,Working,Unemployed,Lower Secondary,Good,1
Female,56,156355,Working,Unemployed,Incomplete Higher,Good,1
Male,26,164351,Working,Employed,Lower Secondary,Good,1
Male,43,61999,State Servant,Employed,Incomplete Higher,Good,1
Male,33,77780,Working,Unemployed,Higher Education,Good,1
Female,22,37908,State Servant,Unemployed,Higher Education,Good,1
Male,74,141278,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Female,69,128002,Working,Unemployed,Incomplete Higher,Good,1
Male,27,115706,Commercial Associate,Employed,Incomplete Higher,Bad,0
Male,67,137019,Pensioner,Employed,Lower Secondary,Good,1
Female,20,124708,State Servant,Employed,Lower Secondary,Good,1
Male,30,24343,Working,Employed,Incomplete Higher,Bad,0
Male,60,91173,State Servant,Employed,Secondary / Secondary Special,Bad,0
Female,66,115260,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Male,47,175206,Commercial Associate,Unemployed,Lower Secondary,Good,1
Male,71,84443,Working,Unemployed,Incomplete Higher,Bad,0
Male,62,72530,State Servant,Employed,Lower Secondary,Good,1
Male,23,150899,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,34,111143,Pensioner,Employed,Academic Degree,Good,1
Female,62,159771,State Servant,Employed,Lower Secondary,Bad,0
Male,68,129527,State Servant,Employed,Secondary / Secondary Special,Bad,0
Female,70,151385,State Servant,Unemployed,Academic Degree,Bad,0
Male,36,159670,Working,Employed,Incomplete Higher,Good,1
Female,59,126362,Commercial Associate,Employed,Lower Secondary,Good,1
Male,52,43807,Pensioner,Unemployed,Academic Degree,Good,1
Male,63,74550,Working,Employed,Secondary / Secondary Special,Bad,0
Male,43,18558,State Servant,Unemployed,Lower Secondary,Good,0
Male,68,65113,State Servant,Employed,Academic Degree,Good,1
Male,22,67999,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,46,73219,State Servant,Employed,Academic Degree,Good,1
Female,54,179841,Working,Employed,Higher Education,Bad,0
Male,37,68218,Working,Unemployed,Incomplete Higher,Good,0
Female,66,34229,Commercial Associate,Employed,Lower Secondary,Bad,0
Male,38,90209,Working,Unemployed,Lower Secondary,Good,1
Female,27,42877,Pensioner,Employed,Lower Secondary,Bad,0
Female,22,112137,Working,Unemployed,Academic Degree,Bad,0
Female,53,53084,Working,Employed,Incomplete Higher,Good,1
Male,23,96780,Working,Employed,Secondary / Secondary Special,Bad,0
Male,43,162878,Pensioner,Employed,Lower Secondary,Good,1
Female,21,52034,State Servant,Unemployed,Incomplete Higher,Bad,0
Male,56,70468,Working,Unemployed,Incomplete Higher,Bad,0
Female,56,165166,Commercial Associate,Unemployed,Higher Education,Bad,0
Male,67,25589,Pensioner,Unemployed,Lower Secondary,Good,1
Female,52,72221,Commercial Associate,Unemployed,Academic Degree,Good,0
Female,18,16657,Working,Employed,Incomplete Higher,Good,1
Male,41,113300,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,74,132229,Working,Employed,Secondary / Secondary Special,Bad,0
Male,53,54531,Pensioner,Employed,Higher Education,Bad,0
Female,23,67227,Commercial Associate,Employed,Incomplete Higher,Bad,0
Female,58,18164,Commercial Associate,Unemployed,Incomplete Higher,Good,0
Male,71,108078,Working,Employed,Academic Degree,Bad,0
Male,63,56247,Working,Unemployed,Academic Degree,Bad,0
Male,61,165673,State Servant,Employed,Secondary / Secondary Special,Bad,0
Female,74,65599,Working,Unemployed,Secondary / Secondary Special,Good,1
Male,48,150624,Working,Unemployed,Secondary / Secondary Special,Good,1
Female,37,155489,State Servant,Unemployed,Academic Degree,Good,1
Female,41,83207,Working,Employed,Academic Degree,Good,1
Male,42,87055,Working,Employed,Higher Education,Good,1
Male,53,117266,State Servant,Employed,Lower Secondary,Bad,0
Female,38,93270,Pensioner,Employed,Lower Secondary,Good,1
Female,47,126426,Pensioner,Unemployed,Higher Education,Good,1
Male,41,149794,Working,Unemployed,Lower Secondary,Good,1
Male,61,85442,Working,Unemployed,Academic Degree,Bad,0
Male,59,110632,State Servant,Unemployed,Lower Secondary,Bad,0
Male,47,36438,State Servant,Employed,Academic Degree,Bad,0
Male,39,73819,Pensioner,Unemployed,Higher Education,Good,1
Female,45,58856,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,24,179648,Working,Unemployed,Higher Education,Bad,0
Female,52,56938,Commercial Associate,Unemployed,Lower Secondary,Good,0
Female,72,74807,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,45,64877,State Servant,Employed,Lower Secondary,Good,1
Male,31,58461,Working,Employed,Lower Secondary,Good,1
Male,73,108474,Working,Unemployed,Secondary / Secondary Special,Good,1
Female,27,98136,State Servant,Unemployed,Lower Secondary,Good,1
Female,33,35435,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,0
Male,33,160263,State Servant,Employed,Academic Degree,Good,1
Male,71,99726,Pensioner,Employed,Academic Degree,Good,1
Female,48,173458,Working,Employed,Secondary / Secondary Special,Good,1
Female,59,177793,Pensioner,Unemployed,Higher Education,Good,1
Male,42,69786,State Servant,Employed,Academic Degree,Good,1
Male,30,28704,Working,Unemployed,Higher Education,Good,1
Female,23,71635,Pensioner,Employed,Academic Degree,Good,1
Male,61,148195,Pensioner,Unemployed,Academic Degree,Good,1
Male,26,105710,Commercial Associate,Unemployed,Incomplete Higher,Good,0
Male,62,77993,Working,Employed,Lower Secondary,Good,1
Female,53,127752,Pensioner,Unemployed,Lower Secondary,Bad,0
Female,73,171488,Pensioner,Unemployed,Higher Education,Good,1
Female,60,147886,Commercial Associate,Unemployed,Lower Secondary,Good,0
Female,37,93537,Pensioner,Employed,Higher Education,Good,1
Female,35,65258,Pensioner,Unemployed,Academic Degree,Bad,0
Female,60,162580,Pensioner,Employed,Incomplete Higher,Good,1
Female,74,100166,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,38,128710,Pensioner,Unemployed,Academic Degree,Good,1
Male,21,50699,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,67,61335,Working,Unemployed,Secondary / Secondary Special,Bad,0
Male,50,61806,Working,Employed,Lower Secondary,Good,1
Male,44,92853,Commercial Associate,Unemployed,Higher Education,Good,1
Male,24,50739,State Servant,Employed,Incomplete Higher,Good,1
Male,23,49785,Working,Unemployed,Lower Secondary,Bad,0
Female,32,178052,Commercial Associate,Unemployed,Academic Degree,Good,1
Female,35,100016,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,49,147681,Pensioner,Unemployed,Higher Education,Bad,0
Male,73,81253,Commercial Associate,Employed,Higher Education,Bad,0
Female,28,106128,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,37,174213,Pensioner,Unemployed,Lower Secondary,Bad,0
Male,41,176081,State Servant,Employed,Academic Degree,Bad,0
Female,32,142581,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,65,125966,Working,Unemployed,Higher Education,Bad,0
Female,24,152854,Pensioner,Employed,Incomplete Higher,Bad,0
Male,38,114352,Commercial Associate,Employed,Academic Degree,Good,1
Female,59,172005,State Servant,Unemployed,Incomplete Higher,Good,1
Female,43,92154,Pensioner,Employed,Lower Secondary,Bad,0
Female,61,154379,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Male,73,123297,Working,Employed,Incomplete Higher,Bad,0
Female,31,53346,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,74,127138,State Servant,Employed,Academic Degree,Good,1
Male,54,65772,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,38,55149,Commercial Associate,Employed,Incomplete Higher,Good,1
Male,35,101700,State Servant,Unemployed,Incomplete Higher,Good,0
Female,22,173598,Pensioner,Employed,Higher Education,Good,1
Female,20,111758,Working,Employed,Incomplete Higher,Good,1
Male,40,143447,State Servant,Unemployed,Secondary / Secondary Special,Good,1
Male,43,20695,Working,Unemployed,Higher Education,Good,1
Female,54,54169,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Male,41,62947,Pensioner,Employed,Incomplete Higher,Bad,0
Female,66,60865,Working,Employed,Academic Degree,Good,1
Male,36,171625,Commercial Associate,Unemployed,Higher Education,Good,1
Male,68,119501,Pensioner,Unemployed,Academic Degree,Good,1
Female,42,75410,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,38,118754,Working,Unemployed,Academic Degree,Good,1
Female,29,105895,Commercial Associate,Employed,Lower Secondary,Good,1
Male,74,170888,State Servant,Employed,Academic Degree,Bad,0
Male,58,65705,Pensioner,Employed,Secondary / Secondary Special,Bad,0
Male,50,130700,Commercial Associate,Employed,Incomplete Higher,Bad,0
Female,67,88914,Working,Employed,Lower Secondary,Good,1
Male,70,16881,Pensioner,Unemployed,Academic Degree,Good,1
Male,21,62365,State Servant,Employed,Incomplete Higher,Good,1
Male,59,94211,Pensioner,Unemployed,Higher Education,Good,1
Male,74,171078,State Servant,Unemployed,Higher Education,Bad,0
Female,24,56198,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,39,168903,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Male,72,115649,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Female,50,162531,Working,Employed,Incomplete Higher,Bad,0
Male,34,178515,State Servant,Unemployed,Lower Secondary,Bad,0
Male,41,151949,Working,Employed,Higher Education,Good,1
Male,51,54553,Commercial Associate,Unemployed,Higher Education,Bad,0
Female,45,150994,State Servant,Employed,Academic Degree,Good,1
Female,60,137778,Working,Unemployed,Incomplete Higher,Bad,0
Female,58,132018,Working,Unemployed,Incomplete Higher,Bad,0
Female,56,150758,Working,Unemployed,Secondary / Secondary Special,Bad,0
Female,39,47766,Working,Unemployed,Higher Education,Good,1
Female,66,47006,Working,Employed,Secondary / Secondary Special,Good,1
Female,34,46422,State Servant,Employed,Lower Secondary,Good,1
Female,51,131590,Working,Employed,Academic Degree,Good,1
Female,23,27205,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Male,63,169599,Working,Unemployed,Higher Education,Good,1
Female,23,164515,Commercial Associate,Unemployed,Lower Secondary,Good,1
Female,51,162596,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Female,18,131477,Working,Unemployed,Lower Secondary,Good,1
Female,27,43202,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,38,76692,Commercial Associate,Employed,Higher Education,Good,1
Female,22,35855,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,19,40095,Working,Employed,Incomplete Higher,Good,1
Female,39,64241,State Servant,Employed,Incomplete Higher,Bad,0
Female,65,118119,Pensioner,Employed,Higher Education,Good,1
Female,74,67003,Working,Employed,Academic Degree,Bad,0
Female,19,109837,Commercial Associate,Employed,Lower Secondary,Good,1
Male,27,109283,State Servant,Employed,Lower Secondary,Good,1
Male,51,162044,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Female,33,138805,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Female,65,108846,Working,Unemployed,Secondary / Secondary Special,Good,1
Male,68,37927,State Servant,Unemployed,Academic Degree,Good,0
Female,56,135589,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Male,39,130657,Commercial Associate,Unemployed,Lower Secondary,Good,0
Male,29,81630,Working,Unemployed,Secondary / Secondary Special,Good,1
Male,41,119428,Working,Employed,Academic Degree,Good,1
Male,64,137035,Pensioner,Employed,Lower Secondary,Bad,0
Male,57,141244,Working,Unemployed,Secondary / Secondary Special,Bad,0
Female,55,84518,Commercial Associate,Employed,Lower Secondary,Good,1
Male,27,96326,Working,Employed,Incomplete Higher,Good,1
Female,52,158277,State Servant,Employed,Incomplete Higher,Bad,1
Female,68,135243,State Servant,Employed,Incomplete Higher,Good,1
Male,66,27748,Commercial Associate,Employed,Secondary / Secondary Special,Bad,0
Male,49,167169,State Servant,Unemployed,Academic Degree,Good,1
Female,24,149164,Pensioner,Employed,Lower Secondary,Bad,1
Male,38,68311,Working,Unemployed,Higher Education,Good,1
Male,37,37692,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Female,43,139954,Pensioner,Unemployed,Incomplete Higher,Good,1
Female,21,169934,Working,Employed,Higher Education,Good,1
Male,63,145035,Pensioner,Unemployed,Higher Education,Good,1
Female,69,94507,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Male,39,95152,Commercial Associate,Unemployed,Lower Secondary,Bad,0
Male,32,19926,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,73,18969,Working,Employed,Academic Degree,Bad,0
Female,57,50733,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Female,38,84855,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Female,32,56743,Pensioner,Unemployed,Academic Degree,Good,1
Female,39,145193,Commercial Associate,Unemployed,Academic Degree,Bad,0
Female,69,122445,Working,Employed,Academic Degree,Bad,0
Male,45,35323,Working,Unemployed,Higher Education,Good,1
Male,31,31428,Commercial Associate,Unemployed,Incomplete Higher,Bad,0
Male,44,49578,State Servant,Unemployed,Higher Education,Bad,0
Male,58,101486,Working,Unemployed,Incomplete Higher,Good,1
Female,57,79140,Pensioner,Unemployed,Higher Education,Good,1
Male,45,122325,State Servant,Unemployed,Lower Secondary,Good,1
Female,43,98829,Pensioner,Employed,Incomplete Higher,Bad,0
Male,66,21364,State Servant,Unemployed,Secondary / Secondary Special,Good,0
Female,19,143867,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,42,146763,Pensioner,Employed,Incomplete Higher,Good,1
Male,73,110598,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,20,72062,Commercial Associate,Employed,Lower Secondary,Bad,0
Male,25,159933,Pensioner,Unemployed,Higher Education,Bad,0
Male,61,103302,State Servant,Employed,Secondary / Secondary Special,Good,1
Female,50,78928,Working,Unemployed,Higher Education,Good,1
Male,59,56347,Working,Employed,Higher Education,Good,1
Male,69,18121,Commercial Associate,Employed,Academic Degree,Good,1
Female,52,98793,State Servant,Unemployed,Lower Secondary,Good,1
Male,23,43164,Pensioner,Employed,Academic Degree,Good,1
Male,56,40491,Pensioner,Employed,Lower Secondary,Good,1
Male,69,74222,Working,Employed,Higher Education,Good,1
Male,40,169237,Pensioner,Employed,Higher Education,Bad,0
Male,42,18748,Working,Employed,Lower Secondary,Good,1
Female,67,41553,Commercial Associate,Unemployed,Higher Education,Bad,0
Male,60,131547,Pensioner,Employed,Higher Education,Good,1
Male,36,75380,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,22,59331,Pensioner,Unemployed,Academic Degree,Bad,0
Male,68,135617,Working,Unemployed,Academic Degree,Good,1
Male,28,54560,Commercial Associate,Unemployed,Academic Degree,Good,0
Female,73,68865,Working,Employed,Incomplete Higher,Good,1
Male,29,90910,Pensioner,Employed,Secondary / Secondary Special,Good,1
Female,27,150747,Working,Employed,Academic Degree,Bad,1
Female,25,92986,Working,Employed,Academic Degree,Good,1
Male,41,25068,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Male,45,69460,State Servant,Unemployed,Higher Education,Good,1
Male,58,115766,Pensioner,Employed,Academic Degree,Good,1
Male,53,61418,Commercial Associate,Employed,Higher Education,Bad,0
Female,54,41206,State Servant,Employed,Academic Degree,Bad,0
Male,38,143180,Working,Employed,Lower Secondary,Good,1
Male,25,15287,State Servant,Unemployed,Incomplete Higher,Good,0
Male,72,37337,Working,Unemployed,Academic Degree,Good,1
Male,26,166738,Working,Employed,Lower Secondary,Good,1
Male,64,147233,Commercial Associate,Unemployed,Secondary / Secondary Special,Bad,0
Male,32,115667,Working,Employed,Lower Secondary,Good,1
Female,65,105071,Commercial Associate,Employed,Secondary / Secondary Special,Good,1
Female,63,113064,State Servant,Unemployed,Academic Degree,Bad,0
Male,57,121511,State Servant,Employed,Secondary / Secondary Special,Good,1
Male,35,160830,Working,Unemployed,Lower Secondary,Good,1
Male,59,18178,Commercial Associate,Employed,Incomplete Higher,Good,1
Female,37,46831,Working,Unemployed,Higher Education,Bad,0
Male,23,148248,Commercial Associate,Employed,Higher Education,Bad,1
Female,29,118306,Commercial Associate,Unemployed,Incomplete Higher,Good,1
Male,19,179726,Commercial Associate,Employed,Higher Education,Good,1
Male,24,172699,State Servant,Employed,Academic Degree,Bad,1
Male,33,127025,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,20,105417,State Servant,Employed,Lower Secondary,Good,1
Female,62,26984,Commercial Associate,Unemployed,Lower Secondary,Bad,0
Female,20,104312,State Servant,Unemployed,Secondary / Secondary Special,Bad,0
Male,44,98291,Pensioner,Employed,Lower Secondary,Good,1
Male,67,22135,State Servant,Employed,Academic Degree,Good,1
Female,60,15320,State Servant,Employed,Lower Secondary,Good,1
Female,57,167756,Working,Employed,Higher Education,Good,1
Female,55,103774,Commercial Associate,Unemployed,Secondary / Secondary Special,Bad,0
Female,50,167961,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,45,113071,Working,Employed,Academic Degree,Bad,0
Female,18,156842,Commercial Associate,Employed,Lower Secondary,Good,1
Male,72,124863,Pensioner,Unemployed,Higher Education,Good,1
Female,25,56777,Pensioner,Employed,Lower Secondary,Good,1
Female,54,61250,Pensioner,Unemployed,Incomplete Higher,Bad,0
Female,49,88034,Commercial Associate,Employed,Lower Secondary,Good,1
Female,65,119940,Pensioner,Unemployed,Academic Degree,Good,1
Female,60,55130,Pensioner,Employed,Lower Secondary,Good,1
Male,54,148609,Working,Employed,Secondary / Secondary Special,Good,1
Male,21,30216,State Servant,Unemployed,Higher Education,Good,1
Female,47,99149,Commercial Associate,Employed,Academic Degree,Good,1
Female,23,18009,State Servant,Employed,Incomplete Higher,Good,1
Male,63,104904,Working,Employed,Higher Education,Good,1
Female,71,175399,State Servant,Unemployed,Higher Education,Good,1
Female,36,160281,Pensioner,Employed,Secondary / Secondary Special,Good,1
Male,49,30029,Pensioner,Unemployed,Secondary / Secondary Special,Good,1
Female,26,117171,Commercial Associate,Unemployed,Secondary / Secondary Special,Good,1
Female,29,129456,Commercial Associate,Unemployed,Academic Degree,Good,1
Male,28,77559,Commercial Associate,Employed,Lower Secondary,Bad,0
Male,63,79892,Working,Unemployed,Higher Education,Good,1
Male,72,85409,Commercial Associate,Unemployed,Lower Secondary,Good,1
Female,33,154707,Working,Employed,Lower Secondary,Good,1
Male,18,48065,Pensioner,Unemployed,Secondary / Secondary Special,Bad,0
Male,62,135544,State Servant,Unemployed,Lower Secondary,Good,0
Male,72,122340,Pensioner,Employed,Higher Education,Good,1
Male,70,48783,Pensioner,Employed,Higher Education,Good,1
Male,38,49152,Pensioner,Unemployed,Incomplete Higher,Good,1
Male,47,73741,Commercial Associate,Employed,Academic Degree,Bad,0
Female,30,122049,Commercial Associate,Employed,Lower Secondary,Bad,0
Female,51,44092,Commercial Associate,Employed,Academic Degree,Good,1
Male,21,163725,State Servant,Unemployed,Academic Degree,Bad,0
Male,45,101483,Commercial Associate,Unemployed,Academic Degree,Bad,0
Male,55,136585,Working,Employed,Academic Degree,Good,1
Female,48,74754,Pensioner,Unemployed,Higher Education,Good,1
Female,72,176050,State Servant,Employed,Lower Secondary,Good,1
Female,44,102592,State Servant,Employed,Incomplete Higher,Good,1
Female,22,109543,State Servant,Employed,Academic Degree,Good,1
Female,42,58169,State Servant,Employed,Incomplete Higher,Good,1
Female,20,69745,State Servant,Employed,Higher Education,Bad,0
Female,50,125168,Working,Unemployed,Higher Education,Bad,0
